States,Latitude,Longitude,22.03.2020,23.03.2020,24.03.2020,25.03.2020,26.03.2020,27.03.2020,28.03.2020,30.03.2020,01.04.2020,02.04.2020,03.04.2020,04.04.2020,05.04.2020,06.04.2020,07.04.2020,08.04.2020,09.04.2020,10.04.2020,11.04.2020,12.04.2020,13.04.2020,14.04.2020,15.04.2020,16.04.2020,17.04.2020,18.04.2020,19.04.2020,20.04.2020,21.04.2020,22.04.2020,23.04.2020,24.04.2020,25.04.2020,26.04.2020,27.04.2020,28.04.2020,29.04.2020,30.04.2020,01.05.2020,02.05.2020,03.05.2020,04.05.2020,05.05.2020,06.05.2020,07.05.2020,08.05.2020
Andaman and Nicobar Islands,11.66702557,92.73598262,NA,NA,NA,NA,NA,NA,NA,9,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,12,14,15,16,17,18,22,27,33,33,33,33,33,33,33,33,33,33,33,33,33
Andhra Pradesh,14.7504291,78.57002559,5,7,8,9,11,12,14,23,83,86,132,161,190,226,266,305,348,363,381,381,432,473,503,534,572,603,603,722,757,813,895,955,1061,1097,1177,1259,1332,1403,1463,1525,1525,1650,1717,1717,1777,1847
Arunachal Pradesh,27.10039878,93.61660071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Assam,26.7499809,94.21666744,NA,NA,NA,NA,NA,NA,NA,NA,1,1,16,24,26,26,26,27,28,29,29,29,31,31,33,33,35,35,35,35,35,35,35,36,36,36,36,38,38,42,42,43,43,43,43,43,45,54
Bihar,25.78541445,87.4799727,2,2,3,4,6,6,9,15,23,23,24,30,30,32,32,38,39,60,60,64,64,66,70,74,83,85,86,96,114,126,148,176,228,251,277,346,383,403,426,471,481,517,529,536,542,550
Chandigarh,30.71999697,76.78000565,5,6,7,7,7,7,8,8,16,16,18,18,18,18,18,18,18,18,18,19,21,21,21,21,21,21,23,26,26,27,27,27,28,30,30,40,56,56,56,88,88,94,102,111,120,135
Chhattisgarh,22.09042035,82.15998734,1,1,1,1,6,6,6,7,9,9,9,9,9,10,10,10,10,10,18,25,31,31,33,33,36,36,36,36,36,36,36,36,36,37,37,37,38,38,40,43,43,57,58,59,59,59
Dadra And Nagar Haveli,20.26657819,73.0166178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delhi,28.6699929,77.23000403,29,29,30,31,36,36,39,87,152,152,219,445,503,523,576,576,669,898,903,1069,1154,1510,1561,1578,1640,1707,1893,2003,2081,2156,2248,2376,2514,2625,2918,3108,3314,3439,3515,3738,4122,4549,4898,5104,5532,5980
Goa,15.491997,73.81800065,NA,NA,NA,NA,3,3,3,5,5,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Haryana,28.45000633,77.01999101,21,26,28,28,30,30,33,36,43,43,43,49,59,84,90,147,169,169,177,185,185,199,199,205,205,225,233,233,254,254,262,272,272,289,289,296,310,310,313,360,360,442,517,548,594,625
Himachal Pradesh,31.10002545,77.16659704,2,3,3,3,3,3,3,3,3,3,6,6,6,13,13,18,18,28,28,32,32,32,33,35,35,38,39,39,39,39,40,40,40,40,40,40,40,40,40,40,40,40,41,42,45,46
Jammu and Kashmir,34.29995933,74.46665849,4,4,4,7,13,13,20,48,62,62,70,75,106,109,116,116,158,184,207,224,245,270,278,300,314,328,341,350,368,380,407,427,454,494,523,546,565,581,614,639,666,701,726,741,775,793
Jharkhand,23.80039349,86.41998572,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,3,4,4,4,13,13,17,17,19,24,27,28,29,33,35,42,46,NA,49,55,59,67,82,103,105,107,111,111,115,115,115,125,127,132
Karnataka,12.57038129,76.91999711,26,33,37,41,55,55,55,83,101,110,124,128,144,151,175,175,181,197,214,226,247,258,277,315,353,371,384,395,415,425,443,463,489,501,511,520,532,557,576,598,601,642,659,671,693,705
Kerala,8.900372741,76.56999263,52,67,95,109,118,137,176,202,241,265,286,295,306,314,327,336,345,357,364,374,376,379,387,388,395,396,400,402,408,427,438,448,451,458,469,482,486,496,497,498,499,500,500,502,503,503
Lakshadweep,10.56257331,72.63686717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Madhya Pradesh,21.300391050000002,76.13001949,4,6,7,14,20,20,30,47,66,99,99,104,165,165,229,229,259,259,443,564,604,730,987,1120,1308,1355,1407,1485,1540,1592,1695,1852,1952,2096,2168,2368,NA,2660,2719,2719,2846,2942,3049,3049,3138,3252
Maharashtra,19.25023195,73.16017493,67,74,89,128,124,130,180,198,302,335,335,490,490,748,868,1018,1135,1364,1574,1761,1985,2337,2687,2919,3205,3323,3651,4203,4669,5221,5652,6430,6817,7628,8068,8590,9318,9915,10498,11506,12296,12974,14541,15525,16758,17974
Manipur,24.79997072,93.95001705,NA,NA,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Meghalaya,25.57049217,91.8800142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,7,9,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Mizoram,23.71039899,92.72001461,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Nagaland,25.6669979,94.11657019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Odisha,19.82042971,85.90001746,2,2,2,2,2,2,3,3,4,4,5,5,20,21,42,42,42,44,48,54,54,55,60,60,60,60,61,68,74,82,83,90,94,103,108,118,119,128,143,154,157,163,170,175,185,219
Puducherry,11.93499371,79.83000037,1,1,1,1,1,1,1,1,3,3,3,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,9,9,9,9
Punjab,31.51997398,75.98000281,21,21,29,29,33,33,38,38,42,46,46,57,57,76,91,91,101,132,132,151,167,176,186,186,186,202,219,219,245,251,277,277,298,298,313,313,322,357,357,772,772,1102,1233,1451,1516,1644
Rajasthan,26.44999921,74.63998124,24,28,32,36,41,41,54,59,93,108,133,200,200,274,288,328,383,463,553,700,812,879,1005,1023,1131,1229,1351,1478,1576,1801,1890,1964,2034,2083,2185,2262,2364,2438,2584,2666,2770,2886,3061,3158,3317,3427
Sikkim,27.3333303,88.6166475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tamil Nadu,12.92038576,79.15004187,7,9,15,18,26,29,40,67,234,234,309,411,485,571,621,690,738,834,911,969,1075,1173,1204,1242,1267,1323,1372,1477,1520,1596,1629,1683,1755,1821,1885,1937,2058,2162,2323,2526,2757,3023,3550,4058,4829,5409
Tripura,23.83540428,91.27999914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,16,29,43,43,65
Uttar Pradesh,27.59998069,78.05000565,27,31,33,37,41,41,55,82,103,113,113,174,227,305,305,343,410,431,433,452,483,657,735,773,846,969,1084,1176,1294,1412,1509,1604,1778,1843,1955,2043,2115,2203,2281,2455,2487,2742,2859,2880,2998,3071
Uttarakhand,30.32040895,78.05000565,3,3,4,4,5,5,5,7,7,7,10,16,22,26,31,31,35,35,35,35,35,35,37,37,37,42,42,44,46,46,46,47,48,50,51,51,54,55,57,58,59,60,60,61,61,61
West Bengal,22.58039044,88.32994665,4,7,9,9,10,10,15,22,37,37,53,69,80,80,91,99,103,116,126,134,152,190,213,231,255,287,310,339,392,423,456,514,571,611,649,697,725,758,795,795,922,963,1259,1344,1456,1548
Ladakh,34.152588,77.577049,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,15,15,15,15,15,17,17,18,18,18,18,18,18,18,18,20,20,20,22,22,22,22,22,22,41,41,41,41,42
Telengana,18.1124,79.0193,22,32,35,35,44,45,56,71,96,96,107,159,269,321,364,427,442,473,504,504,562,624,647,698,743,791,844,873,919,945,960,984,984,991,1002,1004,1012,1012,1039,1057,1063,1082,1085,1096,1107,1123
Gujarat,22.2587,71.1924,18,29,33,38,43,43,45,69,82,82,87,105,122,144,165,165,179,241,308,432,539,617,695,871,1021,1272,1604,1851,2066,2272,2407,2624,2815,3071,3301,3548,3774,4082,4395,4721,5054,5428,5804,6245,6625,7012
